win/lose,game_mode,game_date,game_duration,champion,role,CS,kills,deaths,assists,Vision Score,KP,Summoner Spell 1,Summoner Spell 2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Ward,KDA,CS/min
Victory,Normal (Draft Pick),2025-02-12,00:15:11,Mel,Adc,113,5,3,2,8,37%,Flash,Teleport,Doran's Ring,Dark Seal,Seraph's Embrace,Sorcerer's Shoes,Fated Ashes,None,Stealth Ward,2.33,7.44
Victory,AR Ultra Rapid Fire,2025-02-11,00:16:36,Xayah,Adc,150,14,3,3,18,68%,Flash,Ghost,Doran's Blade,The Collector,Gunmetal Greaves,Kraken Slayer,Infinity Edge,Long Sword,Stealth Ward,5.67,9.04
Victory,AR Ultra Rapid Fire,2025-02-11,00:21:28,Kennen,Adc,102,11,12,7,16,37%,Flash,Ghost,Shadowflame,Stormsurge,Spellslinger's Shoes,Rabadon's Deathcap,Void Staff,None,Stealth Ward,1.5,4.75
Defeat,AR Ultra Rapid Fire,2025-02-11,00:04:23,Volibear,Mid,7,0,1,2,0,100%,Flash,Ghost,Doran's Ring,Health Potion,None,None,None,None,Stealth Ward,2.0,1.6
Defeat,AR Ultra Rapid Fire,2025-02-11,00:19:56,Zed,Support,125,6,14,6,9,44%,Flash,Ignite,Eclipse,Voltaic Cyclosword,Edge of Night,Plated Steelcaps,Serpent's Fang,Caulfield's Warhammer,Stealth Ward,0.86,6.27
Victory,AR Ultra Rapid Fire,2025-02-11,00:18:14,Veigar,Mid,147,12,6,10,18,52%,Flash,Ghost,Stormsurge,Rabadon's Deathcap,Luden's Companion,Shadowflame,Spellslinger's Shoes,Blighting Jewel,Stealth Ward,3.67,8.06
Defeat,AR Ultra Rapid Fire,2025-02-11,00:10:55,Zilean,Adc,43,0,4,3,11,16%,Flash,Ghost,Doran's Ring,Stormsurge,Lost Chapter,Sorcerer's Shoes,None,None,Stealth Ward,0.75,3.94
Victory,Normal (Draft Pick),2025-02-09,00:18:12,Malzahar,Mid,117,7,4,7,6,44%,Flash,Teleport,Aether Wisp,Malignance,Hextech Alternator,Sorcerer's Shoes,Needlessly Large Rod,None,Stealth Ward,3.5,6.43
Defeat,Normal (Draft Pick),2025-02-09,00:27:59,Yone,Top,246,6,4,3,16,60%,Flash,Teleport,Infinity Edge,Immortal Shieldbow,Berserker's Greaves,Blade of The Ruined King,Cloth Armor,Pickaxe,Stealth Ward,2.25,8.79
Defeat,Normal (Draft Pick),2025-02-09,00:15:49,Fiora,Top,76,1,5,0,2,14%,Flash,Teleport,Doran's Blade,Caulfield's Warhammer,Vampiric Scepter,Plated Steelcaps,Long Sword,None,Stealth Ward,0.2,4.81
Defeat,Normal (Draft Pick),2025-02-09,00:44:52,Mel,Mid,311,17,8,4,26,58%,Flash,Teleport,Seraph's Embrace,Spellslinger's Shoes,Cosmic Drive,Liandry's Torment,Rabadon's Deathcap,Void Staff,Farsight Alteration,2.62,6.93
Victory,AR Ultra Rapid Fire,2025-02-09,00:19:27,Zed,Jungle,114,12,8,11,15,40%,Flash,Ignite,Eclipse,Serylda's Grudge,Mercury's Treads,Voltaic Cyclosword,Serpent's Fang,Tunneler,Stealth Ward,2.88,5.86
Victory,AR Ultra Rapid Fire,2025-02-09,00:25:56,Zoe,Adc,164,9,12,14,16,32%,Flash,Ignite,Shadowflame,Stormsurge,Luden's Companion,Rabadon's Deathcap,Spellslinger's Shoes,Void Staff,Stealth Ward,1.92,6.32
Victory,AR Ultra Rapid Fire,2025-02-09,00:17:03,Ezreal,Support,105,13,6,13,12,63%,Flash,Barrier,Doran's Blade,Crimson Lucidity,Muramana,Trinity Force,Serylda's Grudge,Tunneler,Stealth Ward,4.33,6.16
Victory,AR Ultra Rapid Fire,2025-02-09,00:22:55,Shen,Jungle,57,12,11,27,14,60%,Flash,Ghost,Kaenic Rookern,Heartsteel,Chainlaced Crushers,Hollow Radiance,Thornmail,Long Sword,Stealth Ward,3.55,2.49
Defeat,AR Ultra Rapid Fire,2025-02-09,00:14:38,Zeri,Jungle,57,6,9,2,13,40%,Flash,Ghost,Stormsurge,Malignance,Sorcerer's Shoes,Needlessly Large Rod,Needlessly Large Rod,None,Stealth Ward,0.89,3.9
Victory,AR Ultra Rapid Fire,2025-02-09,00:20:36,Mel,Jungle,161,16,7,7,21,43%,Flash,Ghost,Void Staff,Cosmic Drive,Blackfire Torch,Spellslinger's Shoes,Liandry's Torment,Shadowflame,Stealth Ward,3.29,7.82
Victory,Normal (Draft Pick),2025-02-08,00:40:30,Malzahar,Mid,292,13,8,14,27,61%,Flash,Teleport,Rylai's Crystal Scepter,Liandry's Torment,Malignance,Spellslinger's Shoes,Stormsurge,Shadowflame,Farsight Alteration,3.38,7.21
Victory,Normal (Draft Pick),2025-02-08,00:24:08,Smolder,Adc,162,7,3,7,12,50%,Flash,Barrier,Rapid Firecannon,Essence Reaver,Ionian Boots of Lucidity,Infinity Edge,None,None,Stealth Ward,4.67,6.71
Defeat,Normal (Draft Pick),2025-02-07,00:24:42,Samira,Adc,144,1,9,1,8,22%,Flash,Barrier,Doran's Blade,The Collector,Plated Steelcaps,Vampiric Scepter,Cloak of Agility,Pickaxe,Stealth Ward,0.22,5.83
Defeat,Normal (Draft Pick),2025-02-07,00:28:12,Mel,Mid,202,5,7,2,13,39%,Flash,Teleport,Seraph's Embrace,Sorcerer's Shoes,Liandry's Torment,Fiendish Codex,Aether Wisp,Kindlegem,Stealth Ward,1.0,7.16
Victory,AR Ultra Rapid Fire,2025-02-06,00:18:29,Fiddlesticks,Adc,59,14,7,11,20,66%,Flash,Ghost,Malignance,Zhonya's Hourglass,Liandry's Torment,Spellslinger's Shoes,Rylai's Crystal Scepter,Needlessly Large Rod,Scarecrow Effigy,3.57,3.19
Defeat,AR Ultra Rapid Fire,2025-02-06,00:10:35,Vi,Top,78,2,8,3,9,26%,Flash,Ghost,Mercury's Treads,Health Potion,Eclipse,Long Sword,None,None,Stealth Ward,0.62,7.37
Victory,AR Ultra Rapid Fire,2025-02-05,00:19:50,Xayah,Adc,157,21,8,6,17,49%,Flash,Barrier,Infinity Edge,The Collector,Berserker's Greaves,Kraken Slayer,Bloodthirster,Lord Dominik's Regards,Farsight Alteration,3.38,7.92
Victory,AR Ultra Rapid Fire,2025-02-05,00:16:18,Jinx,Adc,102,18,11,9,7,52%,Flash,Ghost,Pickaxe,Yun Tal Wildarrows,The Collector,Runaan's Hurricane,Gunmetal Greaves,B. F. Sword,Farsight Alteration,2.45,6.26
Defeat,AR Ultra Rapid Fire,2025-02-04,00:19:17,Zyra,Jungle,86,5,9,8,10,50%,Flash,Ignite,Blasting Wand,Blackfire Torch,Liandry's Torment,Sorcerer's Shoes,Rylai's Crystal Scepter,Lost Chapter,Stealth Ward,1.44,4.46
Victory,Normal (Draft Pick),2025-02-04,00:29:24,Hwei,Mid,199,4,7,8,12,41%,Flash,Teleport,Rabadon's Deathcap,Liandry's Torment,Blackfire Torch,Amplifying Tome,Sorcerer's Shoes,None,Stealth Ward,1.71,6.77
Victory,Normal (Draft Pick),2025-02-04,00:25:00,Malzahar,Mid,182,3,4,11,12,52%,Flash,Teleport,Doran's Ring,Malignance,Stormsurge,Sorcerer's Shoes,Hextech Alternator,Needlessly Large Rod,Stealth Ward,3.5,7.28
Victory,Normal (Swiftplay),2025-02-03,00:21:51,Mel,Mid,156,6,3,3,10,35%,Flash,Teleport,Doran's Ring,Blackfire Torch,Spellslinger's Shoes,Cosmic Drive,Hextech Alternator,Needlessly Large Rod,Stealth Ward,3.0,7.14
Defeat,Normal (Draft Pick),2025-02-02,00:40:36,Orianna,Mid,261,15,8,11,22,65%,Flash,Teleport,Liandry's Torment,Zhonya's Hourglass,Seraph's Embrace,Shadowflame,Morellonomicon,Mercury's Treads,Farsight Alteration,3.25,6.43
Defeat,Normal (Draft Pick),2025-02-02,00:39:57,Aurelion Sol,Mid,303,11,8,10,19,75%,Flash,Teleport,Seraph's Embrace,Liandry's Torment,Rylai's Crystal Scepter,Sorcerer's Shoes,Blackfire Torch,Rabadon's Deathcap,Stealth Ward,2.62,7.58
Defeat,Normal (Draft Pick),2025-02-02,00:15:44,Irelia,Mid,126,3,6,0,10,50%,Flash,Teleport,Blade of The Ruined King,Recurve Bow,Boots,Long Sword,Dagger,Null-Magic Mantle,Stealth Ward,0.5,8.01
Victory,Normal (Draft Pick),2025-02-02,00:16:32,Lux,Mid,124,2,1,3,7,36%,Flash,Teleport,Doran's Ring,Health Potion,Malignance,Sorcerer's Shoes,Hextech Alternator,Amplifying Tome,Stealth Ward,5.0,7.5
Victory,Normal (Draft Pick),2025-02-01,00:28:30,Orianna,Mid,154,7,6,18,15,58%,Flash,Teleport,Needlessly Large Rod,Luden's Companion,Stormsurge,Sorcerer's Shoes,Hextech Alternator,None,Stealth Ward,4.17,5.4
Victory,Normal (Draft Pick),2025-02-01,00:15:15,Malzahar,Mid,132,6,2,1,4,47%,Flash,Teleport,Doran's Ring,Health Potion,Malignance,Hextech Alternator,Sorcerer's Shoes,Amplifying Tome,Stealth Ward,3.5,8.66
Defeat,Normal (Draft Pick),2025-02-01,00:31:01,Zoe,Mid,167,11,10,12,18,72%,Flash,Ignite,Doran's Ring,Luden's Companion,Boots,Stormsurge,Shadowflame,Needlessly Large Rod,Stealth Ward,2.3,5.38
Defeat,AR Ultra Rapid Fire,2025-02-01,00:27:29,Samira,Jungle,137,5,18,11,11,32%,Flash,Barrier,Infinity Edge,The Collector,Chainlaced Crushers,Bloodthirster,Lord Dominik's Regards,Immortal Shieldbow,Stealth Ward,0.89,4.98
Defeat,AR Ultra Rapid Fire,2025-02-01,00:20:46,Samira,Support,128,9,11,9,18,46%,Flash,Barrier,Bloodthirster,Lord Dominik's Regards,The Collector,Berserker's Greaves,Infinity Edge,Pickaxe,Stealth Ward,1.64,6.16
Defeat,Normal (Swiftplay),2025-02-01,00:25:09,Mel,Support,77,5,6,5,26,59%,Flash,Heal,Zaz'Zak's Realmspike,Malignance,Needlessly Large Rod,Spellslinger's Shoes,Shadowflame,Morellonomicon,Oracle Lens,1.67,3.06
Victory,Normal (Swiftplay),2025-02-01,00:21:05,Mel,Mid,157,7,4,5,7,33%,Flash,Teleport,Needlessly Large Rod,Malignance,Dark Seal,Sorcerer's Shoes,Shadowflame,Needlessly Large Rod,Stealth Ward,3.0,7.45
Victory,Normal (Swiftplay),2025-02-01,00:22:47,Mel,Support,21,8,3,10,24,58%,Flash,Heal,Zaz'Zak's Realmspike,Malignance,Spellslinger's Shoes,Shadowflame,Dark Seal,Needlessly Large Rod,Stealth Ward,6.0,0.92
Victory,Normal (Swiftplay),2025-01-31,00:28:48,Mel,Mid,203,12,5,8,13,53%,Flash,Teleport,Rabadon's Deathcap,Sorcerer's Shoes,Mejai's Soulstealer,Malignance,Shadowflame,Horizon Focus,Farsight Alteration,4.0,7.05
Victory,Normal (Draft Pick),2025-01-31,00:27:05,Swain,Mid,192,7,4,12,11,51%,Flash,Teleport,Fimbulwinter,Liandry's Torment,Rylai's Crystal Scepter,Sorcerer's Shoes,None,None,Stealth Ward,4.75,7.09
Victory,Normal (Draft Pick),2025-01-31,00:27:32,Mel,Adc,209,6,3,7,11,62%,Flash,Teleport,Needlessly Large Rod,Dark Seal,Malignance,Sorcerer's Shoes,Shadowflame,Needlessly Large Rod,Stealth Ward,4.33,7.59
Defeat,Normal (Draft Pick),2025-01-31,00:29:22,Caitlyn,Adc,194,7,8,6,18,54%,Flash,Barrier,Rapid Firecannon,Yun Tal Wildarrows,Infinity Edge,Boots of Swiftness,None,None,Stealth Ward,1.62,6.61
Victory,AR Ultra Rapid Fire,2025-01-30,00:22:20,Mel,Support,159,18,4,10,40,53%,Flash,Ghost,Rabadon's Deathcap,Luden's Companion,Malignance,Void Staff,Shadowflame,Horizon Focus,Stealth Ward,7.0,7.12
Defeat,AR Ultra Rapid Fire,2025-01-29,00:17:25,Corki,Support,117,10,6,2,13,38%,Flash,Ghost,Last Whisper,The Collector,Berserker's Greaves,Trinity Force,Infinity Edge,Noonquiver,Stealth Ward,2.0,6.72
Defeat,Normal (Draft Pick),2025-01-29,00:29:02,Kai'Sa,Adc,156,15,12,7,12,61%,Flash,Barrier,Guinsoo's Rageblade,Kraken Slayer,Nashor's Tooth,Wit's End,Berserker's Greaves,Long Sword,Stealth Ward,1.83,5.37
Defeat,AR Ultra Rapid Fire,2025-01-28,00:16:44,Sona,Adc,39,3,8,10,7,46%,Flash,Ghost,Moonstone Renewer,Lich Bane,Sorcerer's Shoes,Hextech Alternator,Amplifying Tome,Glowing Mote,Stealth Ward,1.62,2.33
Defeat,AR Ultra Rapid Fire,2025-01-28,00:20:54,Nami,Adc,93,7,10,10,9,52%,Flash,Ghost,Rabadon's Deathcap,Sorcerer's Shoes,Stormsurge,Luden's Companion,Liandry's Torment,None,Stealth Ward,1.7,4.45
Victory,AR Ultra Rapid Fire,2025-01-28,00:19:45,Sylas,Support,137,15,8,10,22,45%,Flash,Ignite,Rabadon's Deathcap,Spellslinger's Shoes,Lich Bane,Stormsurge,Kaenic Rookern,Aether Wisp,Stealth Ward,3.12,6.94
Victory,AR Ultra Rapid Fire,2025-01-28,00:14:03,Tristana,Support,71,10,8,7,13,36%,Flash,Ghost,Kraken Slayer,The Collector,Berserker's Greaves,Infinity Edge,Long Sword,None,Stealth Ward,2.12,5.05
Defeat,AR Ultra Rapid Fire,2025-01-27,00:16:20,Jhin,Top,75,7,9,5,9,31%,Flash,Ghost,Rapid Firecannon,Youmuu's Ghostblade,Swiftmarch,The Collector,None,None,Stealth Ward,1.33,4.59
Defeat,AR Ultra Rapid Fire,2025-01-27,00:20:41,Shen,Top,72,9,10,16,5,52%,Flash,Ghost,Giant's Belt,Titanic Hydra,Mercury's Treads,Hollow Radiance,Aegis of the Legion,Heartsteel,Stealth Ward,2.5,3.48
Victory,AR Ultra Rapid Fire,2025-01-27,00:17:37,Zac,Support,156,10,2,7,7,30%,Flash,Smite,Heartsteel,Chainlaced Crushers,Sunfire Aegis,Liandry's Torment,Ruby Crystal,Rejuvenation Bead,Stealth Ward,8.5,8.86
Defeat,AR Ultra Rapid Fire,2025-01-27,00:18:38,Kai'Sa,Support,105,5,11,3,15,30%,Flash,Barrier,Nashor's Tooth,Kraken Slayer,Guinsoo's Rageblade,Berserker's Greaves,Hearthbound Axe,Recurve Bow,Stealth Ward,0.73,5.64
Defeat,AR Ultra Rapid Fire,2025-01-27,00:11:51,Gwen,Top,68,4,10,3,6,58%,Flash,Ghost,Doran's Ring,Nashor's Tooth,Boots,Riftmaker,None,None,Stealth Ward,0.7,5.74
Victory,AR Ultra Rapid Fire,2025-01-26,00:18:44,Zoe,Mid,99,8,8,8,7,31%,Flash,Ignite,Doran's Ring,Lich Bane,Sorcerer's Shoes,Stormsurge,Rabadon's Deathcap,Hextech Alternator,Stealth Ward,2.0,5.28
Defeat,AR Ultra Rapid Fire,2025-01-26,00:17:31,Lucian,Top,93,9,9,12,8,54%,Flash,Ghost,Vampiric Scepter,The Collector,Infinity Edge,Gunmetal Greaves,Kraken Slayer,Last Whisper,Stealth Ward,2.33,5.31
Victory,AR Ultra Rapid Fire,2025-01-26,00:21:14,Alistar,Adc,104,9,5,11,12,49%,Flash,Ghost,Sorcerer's Shoes,Stormsurge,Heartsteel,Luden's Companion,Needlessly Large Rod,Needlessly Large Rod,Stealth Ward,4.0,4.9
Victory,AR Ultra Rapid Fire,2025-01-26,00:24:10,Ahri,Top,184,15,10,9,9,37%,Flash,Ignite,Stormsurge,Rabadon's Deathcap,Luden's Companion,Malignance,Spellslinger's Shoes,Shadowflame,Stealth Ward,2.4,7.61
Victory,AR Ultra Rapid Fire,2025-01-26,00:14:37,Ekko,Top,127,8,1,4,15,35%,Flash,Ghost,Doran's Ring,Rabadon's Deathcap,Lich Bane,Sorcerer's Shoes,Stormsurge,None,Stealth Ward,12.0,8.69
Victory,AR Ultra Rapid Fire,2025-01-26,00:13:13,Vi,Mid,80,8,8,7,11,42%,Flash,Ghost,Doran's Blade,Mercury's Treads,Eclipse,The Collector,Tunneler,Caulfield's Warhammer,Stealth Ward,1.88,6.05
Victory,AR Ultra Rapid Fire,2025-01-26,00:10:42,Zoe,Adc,52,3,3,10,4,38%,Flash,Ignite,Doran's Ring,Amplifying Tome,Lich Bane,Sorcerer's Shoes,Health Potion,None,Stealth Ward,4.33,4.86
Victory,AR Ultra Rapid Fire,2025-01-26,00:13:35,Janna,Mid,66,3,4,21,6,60%,Flash,Ghost,Luden's Companion,Spellslinger's Shoes,Rabadon's Deathcap,Amplifying Tome,None,None,Stealth Ward,6.0,4.86
Victory,AR Ultra Rapid Fire,2025-01-26,00:13:46,Bel'Veth,Mid,138,10,5,4,7,52%,Flash,Smite,Berserker's Greaves,Blade of The Ruined King,Kraken Slayer,Negatron Cloak,Dagger,None,Stealth Ward,2.8,10.02
Victory,AR Ultra Rapid Fire,2025-01-26,00:16:00,Sivir,Mid,163,10,2,6,2,52%,Flash,Ghost,Vampiric Scepter,The Collector,Statikk Shiv,Gunmetal Greaves,Infinity Edge,B. F. Sword,Stealth Ward,8.0,10.19
Defeat,AR Ultra Rapid Fire,2025-01-26,00:31:19,Karthus,Mid,192,17,16,10,5,53%,Flash,Exhaust,Liandry's Torment,Rabadon's Deathcap,Malignance,Void Staff,Blackfire Torch,Shadowflame,Stealth Ward,1.69,6.13
Defeat,AR Ultra Rapid Fire,2025-01-26,00:17:30,Mel,Mid,113,15,9,6,1,49%,Flash,Ghost,Rabadon's Deathcap,Shadowflame,Luden's Companion,Spellslinger's Shoes,None,None,Stealth Ward,2.33,6.46
Victory,AR Ultra Rapid Fire,2025-01-26,00:19:11,Sona,Top,100,16,8,17,15,66%,Flash,Ghost,Lich Bane,Amplifying Tome,Spellslinger's Shoes,Rabadon's Deathcap,Stormsurge,Void Staff,Stealth Ward,4.12,5.21
Defeat,AR Ultra Rapid Fire,2025-01-26,00:14:59,Syndra,Top,106,4,6,2,1,32%,Flash,Ghost,Needlessly Large Rod,Luden's Companion,Sorcerer's Shoes,Stormsurge,Needlessly Large Rod,None,Stealth Ward,1.0,7.07
Victory,AR Ultra Rapid Fire,2025-01-25,00:14:23,Nami,Jungle,69,9,4,18,5,54%,Flash,Barrier,Luden's Companion,Health Potion,Sorcerer's Shoes,Stormsurge,Rabadon's Deathcap,None,Stealth Ward,6.75,4.8
Victory,AR Ultra Rapid Fire,2025-01-25,00:14:05,Zed,Adc,123,7,8,6,1,35%,Flash,Ignite,Eclipse,Serrated Dirk,Voltaic Cyclosword,Edge of Night,Crimson Lucidity,Pickaxe,Stealth Ward,1.62,8.73
Defeat,AR Ultra Rapid Fire,2025-01-25,00:19:30,Sona,Adc,88,15,12,10,9,69%,Flash,Ghost,Lich Bane,Sorcerer's Shoes,Rabadon's Deathcap,Shadowflame,Stormsurge,Seeker's Armguard,Stealth Ward,2.08,4.51
Victory,AR Ultra Rapid Fire,2025-01-25,00:15:41,Teemo,Mid,96,12,9,3,3,45%,Flash,Ghost,Doran's Ring,Liandry's Torment,Spellslinger's Shoes,Malignance,Shadowflame,None,Stealth Ward,1.67,6.12
Victory,AR Ultra Rapid Fire,2025-01-25,00:13:42,Aurora,Mid,99,8,4,10,5,53%,Flash,Ignite,Doran's Ring,Health Potion,Luden's Companion,Sorcerer's Shoes,Stormsurge,Shadowflame,Stealth Ward,4.5,7.23
Victory,AR Ultra Rapid Fire,2025-01-25,00:22:17,Fiora,Mid,167,16,10,6,4,48%,Flash,Ghost,Death's Dance,Ravenous Hydra,Trinity Force,Mercury's Treads,Maw of Malmortius,Blade of The Ruined King,Stealth Ward,2.2,7.49
Victory,AR Ultra Rapid Fire,2025-01-25,00:12:21,Sylas,Jungle,82,18,6,6,4,60%,Flash,Ignite,Doran's Ring,Rabadon's Deathcap,Lich Bane,Spellslinger's Shoes,Stormsurge,None,Stealth Ward,4.0,6.64
Defeat,Normal (Swiftplay),2025-01-25,00:24:23,Mel,Mid,185,3,5,3,13,29%,Flash,Teleport,Doran's Ring,Luden's Companion,Spellslinger's Shoes,Shadowflame,Rabadon's Deathcap,None,Stealth Ward,1.2,7.59
Defeat,Normal (Draft Pick),2025-01-24,00:22:15,Ekko,Mid,131,5,5,2,14,44%,Flash,Teleport,Doran's Ring,Lich Bane,Sorcerer's Shoes,Stormsurge,Amplifying Tome,Amplifying Tome,Stealth Ward,1.4,5.89
Defeat,Normal (Swiftplay),2025-01-24,00:31:49,Mel,Mid,242,6,9,4,11,40%,Flash,Teleport,Void Staff,Zhonya's Hourglass,Sorcerer's Shoes,Shadowflame,Rabadon's Deathcap,Luden's Companion,Stealth Ward,1.11,7.61
Defeat,AR Ultra Rapid Fire,2025-01-24,00:15:51,Vex,Mid,117,13,10,2,6,42%,Flash,Ignite,Needlessly Large Rod,Zhonya's Hourglass,Luden's Companion,Sorcerer's Shoes,Stormsurge,Rabadon's Deathcap,Stealth Ward,1.5,7.38
Victory,AR Ultra Rapid Fire,2025-01-24,00:10:02,Ziggs,Jungle,69,13,1,7,0,38%,Flash,Barrier,Doran's Ring,Lost Chapter,Stormsurge,Boots,Rabadon's Deathcap,Hextech Alternator,Stealth Ward,20.0,6.88
Defeat,AR Ultra Rapid Fire,2025-01-24,00:17:18,Kog'Maw,Mid,114,2,13,12,3,36%,Flash,Ghost,Rabadon's Deathcap,Spellslinger's Shoes,Shadowflame,Stormsurge,None,None,Stealth Ward,1.08,6.59
Victory,Normal (Swiftplay),2025-01-24,00:15:47,Mel,Mid,142,5,0,4,6,43%,Flash,Teleport,Doran's Ring,Sorcerer's Shoes,Luden's Companion,Needlessly Large Rod,Hextech Alternator,None,Stealth Ward,0.0,9.0
Defeat,Normal (Swiftplay),2025-01-24,00:21:35,Kai'Sa,Adc,172,4,5,0,9,50%,Flash,Barrier,Nashor's Tooth,Statikk Shiv,Berserker's Greaves,Guinsoo's Rageblade,None,None,Stealth Ward,0.8,7.97
Victory,Normal (Swiftplay),2025-01-24,00:19:30,Mel,Mid,138,8,2,4,8,60%,Flash,Teleport,Doran's Ring,Luden's Companion,Sorcerer's Shoes,Shadowflame,Horizon Focus,None,Stealth Ward,6.0,7.08
Victory,Normal (Draft Pick),2025-01-19,00:36:08,Malzahar,Mid,196,9,12,8,17,40%,Flash,Teleport,Void Staff,Malignance,Sorcerer's Shoes,Stormsurge,Shadowflame,Needlessly Large Rod,Stealth Ward,1.42,5.42
